SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
Q9H7E9,C8orf33,UPF0488 protein C8orf33,16.915,16.4875,-0.4275,0.041556674
P34741,SDC2,Syndecan-2,19.7625,19.3175,-0.445,0.041516878
Q96I24,FUBP3,Far upstream element-binding protein 3,21.9575,21.82,-0.1375,0.041513607
Q96E39,RBMXL1,"RNA binding motif protein, X-linked-like-1",20.135,20.0175,-0.1175,0.041511652
Q8N4C8,MINK1,Misshapen-like kinase 1,19.7075,19.405,-0.3025,0.041504685
Q96SK2,TMEM209,Transmembrane protein 209,18.5175,18.28,-0.2375,0.041485199
Q9BT40,INPP5K,Inositol polyphosphate 5-phosphatase K,19.8375,19.68,-0.1575,0.041482601
O15498,YKT6,Synaptobrevin homolog YKT6,21.145,20.9675,-0.1775,0.041439515
Q15437,SEC23B,Protein transport protein Sec23B,22.345,22.15,-0.195,0.041424185
P11142,HSPA8,Heat shock cognate 71 kDa protein,28.48,28.2825,-0.1975,0.041393229
P39880,CUX1,Homeobox protein cut-like 1,21.36,21.1425,-0.2175,0.041347615
P22415,USF1,Upstream stimulatory factor 1,17.3825,17.1475,-0.235,0.041326894
Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase,21.065,20.93,-0.135,0.041288379
Q92600,RQCD1,Cell differentiation protein RCD1 homolog,20.75,20.5825,-0.1675,0.041280025
P17028,ZNF24,Zinc finger protein 24,19.385,19.0975,-0.2875,0.041270815
Q8WXI4,ACOT11,Acyl-coenzyme A thioesterase 11,19.145,19.025,-0.12,0.041227164
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1,20.3025,20.075,-0.2275,0.041227078
O75494,SRSF10,Serine/arginine-rich splicing factor 10,21.3825,21.1975,-0.185,0.041226646
Q9Y3B2,EXOSC1,Exosome complex component CSL4,19.165,19.0375,-0.1275,0.041205106
Q8IWR0,ZC3H7A,Zinc finger CCCH domain-containing protein 7A,19.2525,19.125,-0.1275,0.041205106
Q9NPE3,NOP10,H/ACA ribonucleoprotein complex subunit 3,20.3925,20.145,-0.2475,0.041200497
Q6NUK1,SLC25A24,Calcium-binding mitochondrial carrier protein SCaMC-1,23.92,23.845,-0.075,0.041198832
Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial",20.5575,20.3325,-0.225,0.041198832
Q14108,SCARB2,Lysosome membrane protein 2,21.98,21.355,-0.625,0.041181426
Q9UKA4,AKAP11,A-kinase anchor protein 11,19.02,18.825,-0.195,0.041155918
Q99848,EBNA1BP2,Probable rRNA-processing protein EBP2,21.2,20.95,-0.25,0.041090052
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",21.1,20.75,-0.35,0.041060086
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,23.09,22.9825,-0.1075,0.041042935
Q99426,TBCB,Tubulin-folding cofactor B,22.9675,22.8275,-0.14,0.041039277
Q9NZC3,GDE1,Glycerophosphodiester phosphodiesterase 1,19.26,19.095,-0.165,0.041034023
P08708,RPS17,40S ribosomal protein S17,22.9775,22.73,-0.2475,0.041034023
O43847,NRD1,Nardilysin,22.8775,22.5725,-0.305,0.040998596
Q8N1F7,NUP93,Nuclear pore complex protein Nup93,23.585,23.41,-0.175,0.040976856
O95989,NUDT3,Diphosphoinositol polyphosphate phosphohydrolase 1,20.56,20.2825,-0.2775,0.040961807
Q969N2,PIGT,GPI transamidase component PIG-T,20.3975,20.3025,-0.095,0.040942738
Q9NY12,GAR1,H/ACA ribonucleoprotein complex subunit 1,22.2275,22.0675,-0.16,0.040917367
P53567,CEBPG,CCAAT/enhancer-binding protein gamma,17.5,17.3675,-0.1325,0.040863928
O75953,DNAJB5,DnaJ homolog subfamily B member 5,20.0925,19.7625,-0.33,0.040846802
P49757,NUMB,Protein numb homolog,23.13,22.855,-0.275,0.040839314
Q96K17,BTF3L4,Transcription factor BTF3 homolog 4,21.3575,21.21,-0.1475,0.040797386
Q96KR1,ZFR,Zinc finger RNA-binding protein,21.0625,20.8375,-0.225,0.040796055
P30040,ERP29,Endoplasmic reticulum resident protein 29,24.455,24.33,-0.125,0.040763847
P26640,VARS,Valine--tRNA ligase,23.5075,23.3575,-0.15,0.04074573
P53618,COPB1,Coatomer subunit beta,24.505,24.355,-0.15,0.04074573
P49756,RBM25,RNA-binding protein 25,23.0775,22.8575,-0.22,0.040729822
Q9HA72,CALHM2,Calcium homeostasis modulator protein 2,17.88,17.66,-0.22,0.040729822
Q9NZM3,ITSN2,Intersectin-2,21.9,21.8275,-0.0725,0.040701034
P80217,IFI35,Interferon-induced 35 kDa protein,22.18,22.01,-0.17,0.040695584
Q9P1Y6,PHRF1,PHD and RING finger domain-containing protein 1,18.7275,18.5575,-0.17,0.040695584
Q96S19,C16orf13,UPF0585 protein C16orf13,18.05,17.8925,-0.1575,0.040660496
Q9BY77,POLDIP3,Polymerase delta-interacting protein 3,22.4075,22.2125,-0.195,0.040619789
Q8WYQ5,DGCR8,Microprocessor complex subunit DGCR8,17.8625,17.6325,-0.23,0.040615611
P61158,ACTR3,Actin-related protein 3,25.945,25.7475,-0.1975,0.0406091
Q9NRP2,CMC2,COX assembly mitochondrial protein 2 homolog,19.0575,18.8325,-0.225,0.040594783
P18887,XRCC1,DNA repair protein XRCC1,20.235,20.01,-0.225,0.040594783
P17096,HMGA1,High mobility group protein HMG-I/HMG-Y,24.3,23.545,-0.755,0.040561768
A8K4G0,CD300LB,CMRF35-like molecule 7,21.75,21.435,-0.315,0.040557823
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,17.43,17.25,-0.18,0.040519326
P17026,ZNF22,Zinc finger protein 22,20.8275,20.7075,-0.12,0.040519326
Q5VIR6,VPS53,Vacuolar protein sorting-associated protein 53 homolog,20.465,20.3225,-0.1425,0.040440955
Q99627,COPS8,COP9 signalosome complex subunit 8,19.905,19.7625,-0.1425,0.040440955
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,23.9775,23.485,-0.4925,0.040418288
Q14746,COG2,Conserved oligomeric Golgi complex subunit 2,20.245,20.035,-0.21,0.040403853
Q4G0J3,LARP7,La-related protein 7,20.4925,20.305,-0.1875,0.040401636
Q7Z403,TMC6,Transmembrane channel-like protein 6,18.73,18.4275,-0.3025,0.040390636
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,19.1575,18.8975,-0.26,0.040368669
Q8TF68,ZNF384,Zinc finger protein 384,18.7775,18.5575,-0.22,0.040308917
P01137,TGFB1,Transforming growth factor beta-1,22.32,21.49,-0.83,0.040260642
Q7L5Y9,MAEA,Macrophage erythroblast attacher,18.8225,18.5875,-0.235,0.040219694
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B,24.5575,24.39,-0.1675,0.040190416
P35354,PTGS2,Prostaglandin G/H synthase 2,22.785,24.2925,1.5075,0.040185937
O60841,EIF5B,Eukaryotic translation initiation factor 5B,23.4525,23.1825,-0.27,0.040170136
Q6NW29,RWDD4,RWD domain-containing protein 4,16.985,16.66,-0.325,0.040169872
Q9NX62,IMPAD1,Inositol monophosphatase 3,19.975,19.5425,-0.4325,0.040143395
Q9HCS7,XAB2,Pre-mRNA-splicing factor SYF1,21.1625,21.0025,-0.16,0.040121596
Q16576,RBBP7,Histone-binding protein RBBP7,22.265,22.14,-0.125,0.040112054
O43823,AKAP8,A-kinase anchor protein 8,20.9925,20.7375,-0.255,0.040108298
P78417,GSTO1,Glutathione S-transferase omega-1,25.1175,24.92,-0.1975,0.040087006
A8MVS5,HIDE1,Protein HIDE1,17.2825,17.225,-0.0575,0.040038181
Q92947,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",21.835,21.72,-0.115,0.040038181
Q15650,TRIP4,Activating signal cointegrator 1,19.9125,19.795,-0.1175,0.040035394
Q9Y2Q3,GSTK1,Glutathione S-transferase kappa 1,23.26,23.12,-0.14,0.039999906
O60502,MGEA5,Protein O-GlcNAcase,21.7125,21.5725,-0.14,0.039999906
Q9H000,MKRN2,Probable E3 ubiquitin-protein ligase makorin-2,18.8225,18.55,-0.2725,0.039983782
Q14152,EIF3A,Eukaryotic translation initiation factor 3 subunit A,25.2675,24.995,-0.2725,0.039983782
Q13029,PRDM2,PR domain zinc finger protein 2,18.975,18.87,-0.105,0.039942226
Q6NUQ4,TMEM214,Transmembrane protein 214,21.84,21.62,-0.22,0.039888366
Q12979,ABR,Active breakpoint cluster region-related protein,22.43,22.2075,-0.2225,0.039870349
Q9BV38,WDR18,WD repeat-containing protein 18,19.91,19.7525,-0.1575,0.039839701
P53384,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,20.365,20.175,-0.19,0.039814428
P35221,CTNNA1,Catenin alpha-1,21.915,21.82,-0.095,0.039814428
Q9H9E3,COG4,Conserved oligomeric Golgi complex subunit 4,19.965,19.7075,-0.2575,0.039727856
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,20.01,19.8,-0.21,0.039711576
P23469,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon,24.59,24.2275,-0.3625,0.039693995
Q9H910,HN1L,Hematological and neurological expressed 1-like protein,20.2025,20.05,-0.1525,0.039685115
Q16537,PPP2R5E,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,20.235,20.0075,-0.2275,0.039652908
Q9C0E2,XPO4,Exportin-4,21.0925,20.8875,-0.205,0.039641484
Q9UBS8,RNF14,E3 ubiquitin-protein ligase RNF14,16.755,16.5525,-0.2025,0.039611947
P05413,FABP3,"Fatty acid-binding protein, heart",20.41,19.6,-0.81,0.039596451
Q92890,UFD1L,Ubiquitin fusion degradation protein 1 homolog,21.085,20.8775,-0.2075,0.039596075
Q03519,TAP2,Antigen peptide transporter 2,21.8225,21.625,-0.1975,0.039565468
P60866,RPS20,40S ribosomal protein S20,23.0825,22.7475,-0.335,0.039555903
Q16563,SYPL1,Synaptophysin-like protein 1,20.7325,20.65,-0.0825,0.039538185
Q9BTY2,FUCA2,Plasma alpha-L-fucosidase,18.98,18.66,-0.32,0.039525606
O75794,CDC123,Cell division cycle protein 123 homolog,20.4025,20.18,-0.2225,0.039459564
Q9UFG5,C19orf25,UPF0449 protein C19orf25,18.6725,18.48,-0.1925,0.039446752
P78316,NOP14,Nucleolar protein 14,22.7125,22.405,-0.3075,0.039399601
P48449,LSS,Lanosterol synthase,19.4675,19.365,-0.1025,0.039399601
P15529,CD46,Membrane cofactor protein,19.2175,19.015,-0.2025,0.039364073
Q14320,FAM50A,Protein FAM50A,20.8625,20.61,-0.2525,0.039337497
Q6NYC1,JMJD6,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,18.33,18.2025,-0.1275,0.039326345
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",25.56,25.2975,-0.2625,0.03931512
Q00325,SLC25A3,"Phosphate carrier protein, mitochondrial",25.465,25.25,-0.215,0.039281388
O14807,MRAS,Ras-related protein M-Ras,19.9525,19.0425,-0.91,0.039272423
Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2,22.74,22.5625,-0.1775,0.039177455
P40227,CCT6A,T-complex protein 1 subunit zeta,24.395,24.14,-0.255,0.039170111
Q99567,NUP88,Nuclear pore complex protein Nup88,21.865,21.68,-0.185,0.039144781
Q9H9L3,ISG20L2,Interferon-stimulated 20 kDa exonuclease-like 2,18.5275,18.2375,-0.29,0.039128461
Q9Y3A5,SBDS,Ribosome maturation protein SBDS,21.4675,21.26,-0.2075,0.039124061
P08651,NFIC,Nuclear factor 1 C-type,17.07,16.9025,-0.1675,0.0391032
Q969J3,LOH12CR1,Loss of heterozygosity 12 chromosomal region 1 protein,19.0325,18.82,-0.2125,0.039076396
P42704,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial",25.155,24.87,-0.285,0.039063678
Q9H1K1,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",19.875,19.66,-0.215,0.039061649
Q9Y696,CLIC4,Chloride intracellular channel protein 4,22.4875,22.185,-0.3025,0.039057043
P48637,GSS,Glutathione synthetase,22.5675,22.41,-0.1575,0.039020304
P08648,ITGA5,Integrin alpha-5,22.6525,22.03,-0.6225,0.039019235
Q5VT52,RPRD2,Regulation of nuclear pre-mRNA domain-containing protein 2,19.6175,19.365,-0.2525,0.03901886
P49903,SEPHS1,"Selenide, water dikinase 1",20.1675,20.1025,-0.065,0.039014854
P30533,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,21.8625,21.5,-0.3625,0.038998052
Q15813,TBCE,Tubulin-specific chaperone E,21.3525,21.24,-0.1125,0.038987559
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,21.7375,21.625,-0.1125,0.038987559
Q12907,LMAN2,Vesicular integral-membrane protein VIP36,23.5825,23.4075,-0.175,0.038983466
Q00403,GTF2B,Transcription initiation factor IIB,21.215,20.9975,-0.2175,0.038980881
Q6PJG2,ELMSAN1,ELM2 and SANT domain-containing protein 1,19.3725,19.1825,-0.19,0.03896992
P62328,TMSB4X,Thymosin beta-4,22.865,22.6075,-0.2575,0.038961622
Q96QU8,XPO6,Exportin-6,18.905,18.755,-0.15,0.038937422
Q9BZH6,WDR11,WD repeat-containing protein 11,22.1,21.95,-0.15,0.038937422
Q9Y291,MRPS33,"28S ribosomal protein S33, mitochondrial",19.35,19.27,-0.08,0.038930372
Q92979,EMG1,Ribosomal RNA small subunit methyltransferase NEP1,19.8775,19.61,-0.2675,0.038898368
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2,19.5275,19.2825,-0.245,0.038888752
O43159,RRP8,Ribosomal RNA-processing protein 8,20.0675,19.8225,-0.245,0.038888752
Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20,17.675,17.3975,-0.2775,0.038848112
Q9Y2X0,MED16,Mediator of RNA polymerase II transcription subunit 16,19.1275,18.975,-0.1525,0.038811451
Q9H3K6,BOLA2,BolA-like protein 2,21.42,21.0425,-0.3775,0.038795775
Q9BUK6,MSTO1,Protein misato homolog 1,17.6925,17.3225,-0.37,0.038773976
Q92879,CELF1,CUGBP Elav-like family member 1,21.1125,20.9125,-0.2,0.038740062
Q15042,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,21.61,21.41,-0.2,0.038740062
Q9Y3A4,RRP7A,Ribosomal RNA-processing protein 7 homolog A,18.9725,18.515,-0.4575,0.038714481
Q7L014,DDX46,Probable ATP-dependent RNA helicase DDX46,23.245,23.0625,-0.1825,0.038640244
P84095,RHOG,Rho-related GTP-binding protein RhoG,23.2125,23.1225,-0.09,0.038636719
O95478,NSA2,Ribosome biogenesis protein NSA2 homolog,18.0425,17.8025,-0.24,0.038578012
Q5W0V3,FAM160B1,Protein FAM160B1,20.655,20.495,-0.16,0.038533987
Q9HD15,SRA1,Steroid receptor RNA activator 1,20.28,20.18,-0.1,0.038486445
Q8NB90,SPATA5,Spermatogenesis-associated protein 5,19.905,19.71,-0.195,0.038481111
P08238,HSP90AB1,Heat shock protein HSP 90-beta,28.01,27.7875,-0.2225,0.038434209
Q9NUP9,LIN7C,Protein lin-7 homolog C,18.455,18.29,-0.165,0.038419397
Q8IXM2,BAP18,Chromatin complexes subunit BAP18,20.375,20.21,-0.165,0.038419397
Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,21.6575,21.42,-0.2375,0.038419026
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial",20.3925,20.285,-0.1075,0.038403081
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,20.8125,20.63,-0.1825,0.038335744
Q9HA77,CARS2,"Probable cysteine--tRNA ligase, mitochondrial",19.86,19.6775,-0.1825,0.038335744
Q4VC31,CCDC58,Coiled-coil domain-containing protein 58,20.035,19.855,-0.18,0.038323707
O00203,AP3B1,AP-3 complex subunit beta-1,23.9825,23.755,-0.2275,0.038279765
P51572,BCAP31,B-cell receptor-associated protein 31,25.1825,24.8175,-0.365,0.038259653
Q8NDT2,RBM15B,Putative RNA-binding protein 15B,18.19,17.985,-0.205,0.038192128
Q9H0A0,NAT10,RNA cytidine acetyltransferase,22.0375,21.735,-0.3025,0.038170139
Q8NCE2,MTMR14,Myotubularin-related protein 14,20.3925,20.2675,-0.125,0.038162032
O94906,PRPF6,Pre-mRNA-processing factor 6,23.0225,22.8625,-0.16,0.038137965
P62995,TRA2B,Transformer-2 protein homolog beta,22.925,22.735,-0.19,0.038127
P20290,BTF3,Transcription factor BTF3,22.645,22.33,-0.315,0.038100268
Q8NC44,FAM134A,Protein FAM134A,18.7375,18.5275,-0.21,0.038100268
P43007,SLC1A4,Neutral amino acid transporter A,21.0525,20.1525,-0.9,0.038098481
O96008,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,21.365,21.1275,-0.2375,0.038059638
P42679,MATK,Megakaryocyte-associated tyrosine-protein kinase,23.5525,22.9125,-0.64,0.038039017
P42356,PI4KA,Phosphatidylinositol 4-kinase alpha,21.9575,21.79,-0.1675,0.038018587
Q9H0D6,XRN2,5'-3' exoribonuclease 2,23.245,23.065,-0.18,0.038010925
Q9H6K1,C6orf106,Uncharacterized protein C6orf106,18.7925,18.4375,-0.355,0.037970115
Q99442,SEC62,Translocation protein SEC62,21.465,21.28,-0.185,0.037959312
Q14690,PDCD11,Protein RRP5 homolog,21.4175,21.0875,-0.33,0.037954081
Q9H444,CHMP4B,Charged multivesicular body protein 4b,23.8225,23.6875,-0.135,0.03794145
P47755,CAPZA2,F-actin-capping protein subunit alpha-2,22.895,22.76,-0.135,0.03794145
P13686,ACP5,Tartrate-resistant acid phosphatase type 5,21.1,20.36,-0.74,0.037940816
Q9NPF2,CHST11,Carbohydrate sulfotransferase 11,20.0625,19.6225,-0.44,0.037895953
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,21.1125,20.765,-0.3475,0.037877569
Q6P1X5,TAF2,Transcription initiation factor TFIID subunit 2,18.6975,18.5075,-0.19,0.037846397
P22362,CCL1,C-C motif chemokine 1,18.95,19.6075,0.6575,0.037790384
P31751,AKT2,RAC-beta serine/threonine-protein kinase,20.695,20.4275,-0.2675,0.037764941
Q9H8P0,SRD5A3,Polyprenol reductase,17.6075,17.16,-0.4475,0.0377348
Q92766,RREB1,Ras-responsive element-binding protein 1,19.365,18.9575,-0.4075,0.03771182
Q8IV53,DENND1C,DENN domain-containing protein 1C,19.71,19.5025,-0.2075,0.037711032
Q9BYT8,NLN,"Neurolysin, mitochondrial",20.5525,20.345,-0.2075,0.037711032
Q9HD40,SEPSECS,O-phosphoseryl-tRNA(Sec) selenium transferase,18.8125,18.55,-0.2625,0.037696084
P20701,ITGAL,Integrin alpha-L,23.81,23.53,-0.28,0.037669688
P80511,S100A12,Protein S100-A12,24.605,24.43,-0.175,0.037659359
Q96S55,WRNIP1,ATPase WRNIP1,18.5525,18.385,-0.1675,0.037657666
Q9NQ48,LZTFL1,Leucine zipper transcription factor-like protein 1,19.2075,19.1325,-0.075,0.037585921
O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,19.55,19.455,-0.095,0.037565987
Q9UNA1,ARHGAP26,Rho GTPase-activating protein 26,22.1125,21.88,-0.2325,0.037531634
Q96PK6,RBM14,RNA-binding protein 14,23.6475,23.455,-0.1925,0.037531003
O43148,RNMT,mRNA cap guanine-N7 methyltransferase,22.1875,21.995,-0.1925,0.037531003
Q9UDY8,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,20.0175,19.7475,-0.27,0.037524846
Q9NVF7,FBXO28,F-box only protein 28,18.2525,18.15,-0.1025,0.037469282
O14929,HAT1,Histone acetyltransferase type B catalytic subunit,21.5025,21.36,-0.1425,0.037441423
Q99873,PRMT1,Protein arginine N-methyltransferase 1,22.115,21.9325,-0.1825,0.037423568
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,22.3525,22.17,-0.1825,0.037423568
Q96RE7,NACC1,Nucleus accumbens-associated protein 1,19.9175,19.5725,-0.345,0.037395516
P43155,CRAT,Carnitine O-acetyltransferase,21.2325,21.1,-0.1325,0.037393186
Q5JSL3,DOCK11,Dedicator of cytokinesis protein 11,23.2525,23.095,-0.1575,0.037386073
Q9BXK5,BCL2L13,Bcl-2-like protein 13,21.53,21.3275,-0.2025,0.037386073
Q15386,UBE3C,Ubiquitin-protein ligase E3C,20.52,20.34,-0.18,0.037386073
P06702,S100A9,Protein S100-A9,28.695,28.51,-0.185,0.037367831
Q9NY35,CLDND1,Claudin domain-containing protein 1,19.6425,19.4575,-0.185,0.037367831
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2,24.08,23.89,-0.19,0.037285773
Q8WTT2,NOC3L,Nucleolar complex protein 3 homolog,18.5425,18.29,-0.2525,0.037270533
Q9UK59,DBR1,Lariat debranching enzyme,20.6575,20.44,-0.2175,0.037267306
Q9NZL9,MAT2B,Methionine adenosyltransferase 2 subunit beta,22.1675,21.96,-0.2075,0.037241088
Q16629,SRSF7,Serine/arginine-rich splicing factor 7,23.485,23.3225,-0.1625,0.037192235
P38571,LIPA,Lysosomal acid lipase/cholesteryl ester hydrolase,21.6675,20.65,-1.0175,0.037184698
Q01081,U2AF1,Splicing factor U2AF 35 kDa subunit,21.51,21.34,-0.17,0.037183045
Q9BXS5,AP1M1,AP-1 complex subunit mu-1,23.7025,23.5325,-0.17,0.037183045
Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K,22.515,22.1725,-0.3425,0.037131739
Q8WWM7,ATXN2L,Ataxin-2-like protein,22.7825,22.555,-0.2275,0.037106298
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",22.79,22.6425,-0.1475,0.037064785
P29084,GTF2E2,Transcription initiation factor IIE subunit beta,20.6325,20.3025,-0.33,0.037025036
Q9ULT0,TTC7A,Tetratricopeptide repeat protein 7A,19.2175,19.0975,-0.12,0.036996039
P54725,RAD23A,UV excision repair protein RAD23 homolog A,20.785,20.5925,-0.1925,0.036985269
O00629,KPNA4,Importin subunit alpha-3,22.31,22.1,-0.21,0.03695308
Q9UHQ4,BCAP29,B-cell receptor-associated protein 29,21.0375,20.8275,-0.21,0.03695308
Q9Y613,FHOD1,FH1/FH2 domain-containing protein 1,21.16,21,-0.16,0.036952185
Q8WUM4,PDCD6IP,Programmed cell death 6-interacting protein,25.2525,25.11,-0.1425,0.03694356
Q641Q2,FAM21A,WASH complex subunit FAM21A,22.31,22.1325,-0.1775,0.036926584
P55735,SEC13,Protein SEC13 homolog,22.27,22.13,-0.14,0.036895808
Q9Y6W5,WASF2,Wiskott-Aldrich syndrome protein family member 2,22.2875,22.0375,-0.25,0.036866946
Q3V6T2,CCDC88A,Girdin,22.4675,22.165,-0.3025,0.036843324
P05109,S100A8,Protein S100-A8,28.73,28.5125,-0.2175,0.036840043
Q8WZ82,OVCA2,Ovarian cancer-associated gene 2 protein,19.5925,19.4475,-0.145,0.036840043
Q5T1M5,FKBP15,FK506-binding protein 15,23.6375,23.4,-0.2375,0.036804274
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase,20.1775,19.76,-0.4175,0.036785476
Q96T76,MMS19,MMS19 nucleotide excision repair protein homolog,19.9875,19.74,-0.2475,0.036726147
O00625,PIR,Pirin,20.1925,19.9425,-0.25,0.036705362
P43304,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",23.645,23.43,-0.215,0.036651981
P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",20.58,20.3925,-0.1875,0.036651516
Q96C90,PPP1R14B,Protein phosphatase 1 regulatory subunit 14B,18.4825,18.245,-0.2375,0.036625267
P98082,DAB2,Disabled homolog 2,21.495,21.1225,-0.3725,0.036615585
Q8NC56,LEMD2,LEM domain-containing protein 2,20.635,20.5225,-0.1125,0.036587708
Q9UHY1,NRBP1,Nuclear receptor-binding protein,21.5825,21.425,-0.1575,0.036571432
Q9BRX2,PELO,Protein pelota homolog,21.1925,21.11,-0.0825,0.036561344
P15848,ARSB,Arylsulfatase B,19.59,19.2475,-0.3425,0.036529032
Q8TDD1,DDX54,ATP-dependent RNA helicase DDX54,19.82,19.465,-0.355,0.036525972
P31153,MAT2A,S-adenosylmethionine synthase isoform type-2,24.22,23.765,-0.455,0.036520876
Q8WUW1,BRK1,Protein BRICK1,20.355,20.15,-0.205,0.036507537
Q13325,IFIT5,Interferon-induced protein with tetratricopeptide repeats 5,20.715,20.505,-0.21,0.03649515
P28340,POLD1,DNA polymerase delta catalytic subunit,21.5475,21.27,-0.2775,0.036482279
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47,18.415,18.0675,-0.3475,0.036454446
Q8NHQ9,DDX55,ATP-dependent RNA helicase DDX55,18.4025,18.3075,-0.095,0.036446345
P07305,H1F0,Histone H1.0,22.8775,22.715,-0.1625,0.036427294
P42785,PRCP,Lysosomal Pro-X carboxypeptidase,20.6125,19.9525,-0.66,0.036422349
Q96BK5,PINX1,PIN2/TERF1-interacting telomerase inhibitor 1,18.2175,17.915,-0.3025,0.036402059
O75487,GPC4,Glypican-4,23.5575,22.44,-1.1175,0.036381244
Q13439,GOLGA4,Golgin subfamily A member 4,21.11,20.935,-0.175,0.036339582
Q12849,GRSF1,G-rich sequence factor 1,19.1625,18.7575,-0.405,0.03633918
Q8N9M1,C19orf47,Uncharacterized protein C19orf47,17.425,17.2475,-0.1775,0.036285813
P22681,CBL,E3 ubiquitin-protein ligase CBL,22.7325,22.5825,-0.15,0.036238955
P08758,ANXA5,Annexin A5,27.6375,27.4875,-0.15,0.036238955
Q9BUJ2,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,23.91,23.76,-0.15,0.036238955
Q99523,SORT1,Sortilin,21.8725,20.8325,-1.04,0.036207962
Q5VSL9,STRIP1,Striatin-interacting protein 1,20.71,20.55,-0.16,0.036163683
Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12",20.6725,20.5125,-0.16,0.036163683
Q7Z6J4,FGD2,"FYVE, RhoGEF and PH domain-containing protein 2",21.1725,21.0825,-0.09,0.036139373
O94901,SUN1,SUN domain-containing protein 1,18.395,18.225,-0.17,0.036135066
P40937,RFC5,Replication factor C subunit 5,20.1375,19.9675,-0.17,0.036135066
P41223,BUD31,Protein BUD31 homolog,20.8175,20.59,-0.2275,0.036131107
O75844,ZMPSTE24,CAAX prenyl protease 1 homolog,21.6125,21.3925,-0.22,0.036121373
P42345,MTOR,Serine/threonine-protein kinase mTOR,21.89,21.7275,-0.1625,0.036045414
O43660,PLRG1,Pleiotropic regulator 1,21.3775,21.2475,-0.13,0.03602156
O75448,MED24,Mediator of RNA polymerase II transcription subunit 24,19.725,19.595,-0.13,0.03602156
Q8N149,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,17.15,16.875,-0.275,0.036013083
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase,25.6625,25.2325,-0.43,0.035997372
Q13356,PPIL2,Peptidyl-prolyl cis-trans isomerase-like 2,19.895,19.6975,-0.1975,0.035932231
P62888,RPL30,60S ribosomal protein L30,24.52,24.2025,-0.3175,0.035929621
P43246,MSH2,DNA mismatch repair protein Msh2,22.09,21.98,-0.11,0.035913152
Q9Y4E8,USP15,Ubiquitin carboxyl-terminal hydrolase 15,23.71,23.49,-0.22,0.035913152
O95786,DDX58,Probable ATP-dependent RNA helicase DDX58,21.315,21.0775,-0.2375,0.035910108
P25705,ATP5A1,"ATP synthase subunit alpha, mitochondrial",26.905,26.765,-0.14,0.035866426
