SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
Q96MF7,NSMCE2,E3 SUMO-protein ligase NSE2,17.7225,17.7975,0.075,0.422171663
P17568,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,17.3675,17.66,0.2925,0.022669039
Q9BXP2,SLC12A9,Solute carrier family 12 member 9,20.3225,20.3975,0.075,0.077792777
Q12972,PPP1R8,Nuclear inhibitor of protein phosphatase 1,19.965,20.0525,0.0875,0.175657232
Q15075,EEA1,Early endosome antigen 1,23.64,23.695,0.055,0.275392695
Q9NV88,INTS9,Integrator complex subunit 9,19.89,19.96,0.07,0.0074571
Q96L92,SNX27,Sorting nexin-27,21.8725,21.9175,0.045,0.428197212
Q14C86,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1,22.865,22.9175,0.0525,0.136149016
Q9HCS7,XAB2,Pre-mRNA-splicing factor SYF1,21.1625,21.265,0.1025,0.097700607
O75340,PDCD6,Programmed cell death protein 6,21.9725,22.0325,0.06,0.066275603
P98175,RBM10,RNA-binding protein 10,21.14,21.17,0.03,0.640037464
Q13596,SNX1,Sorting nexin-1,23.17,23.1475,-0.0225,0.509066558
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,21.3175,21.3775,0.06,0.043356027
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog,21.6175,21.6675,0.05,0.343301942
Q99961,SH3GL1,Endophilin-A2,22.8175,22.855,0.0375,0.5133196
Q08378,GOLGA3,Golgin subfamily A member 3,22.21,22.275,0.065,0.141715163
Q14849,STARD3,StAR-related lipid transfer protein 3,17.875,18.03,0.155,0.183012271
P17931,LGALS3,Galectin-3,23.965,23.8775,-0.0875,0.457959378
P60981,DSTN,Destrin,22.175,22.115,-0.06,0.21318371
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,23.63,23.6675,0.0375,0.244053292
P48454,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,17.7975,17.8625,0.065,0.637618091
P00738,HP,Haptoglobin,19.19,19.3175,0.1275,0.313279899
Q9ULX9,MAFF,Transcription factor MafF,21.3075,21.4625,0.155,0.021779775
P02748,C9,Complement component C9,21.2575,21.39,0.1325,0.272612133
Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12,20.9325,20.875,-0.0575,0.382492667
O14524,NEMP1,Nuclear envelope integral membrane protein 1,16.625,16.7475,0.1225,0.263680648
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",20.9175,21,0.0825,0.041034023
Q9H7Z7,PTGES2,Prostaglandin E synthase 2,20.5075,20.5525,0.045,0.56761735
Q3B726,TWISTNB,DNA-directed RNA polymerase I subunit RPA43,18.8725,18.6875,-0.185,0.222547355
P26583,HMGB2,High mobility group protein B2,26.325,26.3975,0.0725,0.284218644
Q96TC7,RMDN3,Regulator of microtubule dynamics protein 3,20.21,20.18,-0.03,0.405771569
Q14738,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,20.9925,21.0475,0.055,0.307239847
O00562,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,19.31,19.3725,0.0625,0.213135874
Q9BUI4,POLR3C,DNA-directed RNA polymerase III subunit RPC3,19.335,19.3775,0.0425,0.375153756
Q14980,NUMA1,Nuclear mitotic apparatus protein 1,24.79,24.8375,0.0475,0.206262406
Q96EY8,MMAB,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",18.9875,19.13,0.1425,0.228205048
P49590,HARS2,"Probable histidine--tRNA ligase, mitochondrial",19.7475,19.8225,0.075,0.081413123
Q9P265,DIP2B,Disco-interacting protein 2 homolog B,20.53,20.56,0.03,0.379187242
P09211,GSTP1,Glutathione S-transferase P,26.1975,26.2175,0.02,0.744527526
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2,21.745,21.7875,0.0425,0.266295213
Q5QGZ9,CLEC12A,C-type lectin domain family 12 member A,21.205,21.165,-0.04,0.679158568
O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",21.825,21.89,0.065,0.22710031
P08133,ANXA6,Annexin A6,27.2575,27.2925,0.035,0.485055814
Q8NEW0,SLC30A7,Zinc transporter 7,20.38,20.4825,0.1025,0.010686927
Q01826,SATB1,DNA-binding protein SATB1,19.4475,19.405,-0.0425,0.204000765
P55160,NCKAP1L,Nck-associated protein 1-like,23.3,23.355,0.055,0.154268983
Q8N4L2,TMEM55A,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",17.0225,16.9825,-0.04,0.370662368
P62312,LSM6,U6 snRNA-associated Sm-like protein LSm6,20.94,20.98,0.04,0.508095945
Q8TAG9,EXOC6,Exocyst complex component 6,20.1125,20.18,0.0675,0.329190876
Q14914,PTGR1,Prostaglandin reductase 1,20.02,19.9825,-0.0375,0.784958961
Q9NZD8,SPG21,Maspardin,22.4475,22.47,0.0225,0.683601018
P52565,ARHGDIA,Rho GDP-dissociation inhibitor 1,25.32,25.3425,0.0225,0.693703487
Q07955,SRSF1,Serine/arginine-rich splicing factor 1,24.3175,24.425,0.1075,0.150852834
Q13576,IQGAP2,Ras GTPase-activating-like protein IQGAP2,25.3925,25.4175,0.025,0.452210902
Q13011,ECH1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",23.88,23.94,0.06,0.457126092
Q92608,DOCK2,Dedicator of cytokinesis protein 2,24.9975,25.0625,0.065,0.174066303
Q9H270,VPS11,Vacuolar protein sorting-associated protein 11 homolog,21.415,21.455,0.04,0.334649398
O75030,MITF,Microphthalmia-associated transcription factor,20.2175,20.1125,-0.105,0.456652836
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,21.6625,21.605,-0.0575,0.410850038
P49736,MCM2,DNA replication licensing factor MCM2,22.0175,22.0875,0.07,0.269461775
P35269,GTF2F1,General transcription factor IIF subunit 1,20.795,20.8125,0.0175,0.663328989
Q06323,PSME1,Proteasome activator complex subunit 1,25.935,25.985,0.05,0.474021388
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,23.815,23.865,0.05,0.214853055
Q96BN8,OTULIN,Ubiquitin thioesterase otulin,20.615,20.65,0.035,0.46322281
O95340,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,19.345,19.37,0.025,0.636439357
Q9NX40,OCIAD1,OCIA domain-containing protein 1,21.3,21.36,0.06,0.309453378
Q8WWN8,ARAP3,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3",20.1625,20.105,-0.0575,0.104619195
Q8WXH0,SYNE2,Nesprin-2,18.74,18.8275,0.0875,0.020114503
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,19.1575,19.1875,0.03,0.102728079
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,20.4675,20.5075,0.04,0.240258722
Q9UBW5,BIN2,Bridging integrator 2,23.97,24.02,0.05,0.122777678
Q7L1Q6,BZW1,Basic leucine zipper and W2 domain-containing protein 1,24.795,24.7725,-0.0225,0.550016109
Q9UH99,SUN2,SUN domain-containing protein 2,24.15,24.18,0.03,0.509738407
Q14697,GANAB,Neutral alpha-glucosidase AB,25.0925,25.1625,0.07,0.115671048
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,23.1025,23.1525,0.05,0.325424508
Q01831,XPC,DNA repair protein complementing XP-C cells,19.51,19.5575,0.0475,0.149289575
Q9Y5Y5,PEX16,Peroxisomal membrane protein PEX16,17.8625,17.9925,0.13,0.233893066
Q07021,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",23.2175,23.3,0.0825,0.095110139
P15309,ACPP,Prostatic acid phosphatase,19.94,19.7675,-0.1725,0.000106487
P53680,AP2S1,AP-2 complex subunit sigma,21.425,21.3875,-0.0375,0.463918326
P35251,RFC1,Replication factor C subunit 1,19.86,19.9325,0.0725,0.020138962
O60763,USO1,General vesicular transport factor p115,24.14,24.16,0.02,0.267367168
Q16630,CPSF6,Cleavage and polyadenylation specificity factor subunit 6,22.595,22.675,0.08,0.096391534
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,21.8325,21.885,0.0525,0.39957241
P14314,PRKCSH,Glucosidase 2 subunit beta,24.43,24.53,0.1,0.080622575
Q9NVM9,ASUN,Protein asunder homolog,19.615,19.7725,0.1575,0.148034126
Q13619,CUL4A,Cullin-4A,21.395,21.47,0.075,0.149000386
P15586,GNS,N-acetylglucosamine-6-sulfatase,22.8,22.7775,-0.0225,0.376924412
Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B,20.38,20.2225,-0.1575,0.428772916
P35914,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",21.1375,21.195,0.0575,0.343298692
P06280,GLA,Alpha-galactosidase A,21.1325,21.0875,-0.045,0.412004783
O95336,PGLS,6-phosphogluconolactonase,23.52,23.57,0.05,0.23148255
P46100,ATRX,Transcriptional regulator ATRX,20.28,20.3125,0.0325,0.507207739
Q9Y228,TRAF3IP3,TRAF3-interacting JNK-activating modulator,21.1475,21.2325,0.085,0.15651495
P49903,SEPHS1,"Selenide, water dikinase 1",20.1675,20.305,0.1375,0.126145498
P49116,NR2C2,Nuclear receptor subfamily 2 group C member 2,18.565,18.6625,0.0975,0.258176683
P63302,SEPW1,Selenoprotein W,17.5425,17.495,-0.0475,0.583274575
Q14011,CIRBP,Cold-inducible RNA-binding protein,21.1075,21.1775,0.07,0.066801542
Q969F9,HPS3,Hermansky-Pudlak syndrome 3 protein,18.3625,18.4125,0.05,0.343301942
O95497,VNN1,Pantetheinase,16.335,16.385,0.05,0.472226568
Q9UBM7,DHCR7,7-dehydrocholesterol reductase,18.7875,18.865,0.0775,0.187271478
Q92982,NINJ1,Ninjurin-1,17.915,18.175,0.26,0.011452645
O43837,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",22.335,22.35,0.015,0.727895601
P51689,ARSD,Arylsulfatase D,17.72,17.8325,0.1125,0.056035377
Q9H981,ACTR8,Actin-related protein 8,19.4025,19.34,-0.0625,0.625182996
Q08426,EHHADH,Peroxisomal bifunctional enzyme,19.9075,19.9675,0.06,0.2379857
Q7L2H7,EIF3M,Eukaryotic translation initiation factor 3 subunit M,22.68,22.73,0.05,0.018986231
Q9NY35,CLDND1,Claudin domain-containing protein 1,19.6425,19.6925,0.05,0.015392438
Q9UBB9,TFIP11,Tuftelin-interacting protein 11,21.225,21.32,0.095,0.167265115
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,21.8025,21.8625,0.06,0.066275603
Q9H0R4,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,18.9825,19.04,0.0575,0.403142462
Q4J6C6,PREPL,Prolyl endopeptidase-like,20.105,20.055,-0.05,0.030466292
Q13618,CUL3,Cullin-3,22.4525,22.5175,0.065,0.137457201
P19623,SRM,Spermidine synthase,21.0775,21.125,0.0475,0.129348798
P06744,GPI,Glucose-6-phosphate isomerase,26.9625,26.98,0.0175,0.616804148
P24390,KDELR1,ER lumen protein-retaining receptor 1,21.1,21.2125,0.1125,0.091572895
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,22.8325,22.89,0.0575,0.348439781
P52735,VAV2,Guanine nucleotide exchange factor VAV2,20.02,20.15,0.13,0.12605208
P54727,RAD23B,UV excision repair protein RAD23 homolog B,23.58,23.57,-0.01,0.847639381
P67870,CSNK2B,Casein kinase II subunit beta,21.915,21.955,0.04,0.417233171
P62249,RPS16,40S ribosomal protein S16,24.3325,24.37,0.0375,0.147438219
Q13201,MMRN1,Multimerin-1,17.61,17.7575,0.1475,0.147927205
Q9BS26,ERP44,Endoplasmic reticulum resident protein 44,23.255,23.22,-0.035,0.517631537
Q9H4Z3,PCIF1,Phosphorylated CTD-interacting factor 1,18.945,19.0725,0.1275,0.049410162
Q96T66,NMNAT3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3,18.2825,18.4525,0.17,0.195954623
P21333,FLNA,Filamin-A,28.9225,28.9425,0.02,0.479515288
P08865,RPSA,40S ribosomal protein SA,23.7925,23.865,0.0725,0.02371655
P08047,SP1,Transcription factor Sp1,19.77,19.8225,0.0525,0.14909581
Q8IYS2,KIAA2013,Uncharacterized protein KIAA2013,18.4275,18.57,0.1425,0.02811754
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial",19.46,19.5225,0.0625,0.3838225
P61106,RAB14,Ras-related protein Rab-14,23.8225,23.8375,0.015,0.749787587
Q8N9M1,C19orf47,Uncharacterized protein C19orf47,17.425,17.45,0.025,0.646653217
Q96MW5,COG8,Conserved oligomeric Golgi complex subunit 8,19.41,19.4825,0.0725,0.443212719
Q16795,NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",23.1525,23.1775,0.025,0.715439155
P13727,PRG2,Bone marrow proteoglycan,22.2475,22.375,0.1275,0.191924318
Q9NQ29,LUC7L,Putative RNA-binding protein Luc7-like 1,20.3375,20.44,0.1025,0.034591712
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,23.16,23.2,0.04,0.384438644
O15226,NKRF,NF-kappa-B-repressing factor,20.935,20.97,0.035,0.125298087
Q9NU22,MDN1,Midasin,21.0725,21.2575,0.185,0.004152855
P84085,ARF5,ADP-ribosylation factor 5,21.3475,21.47,0.1225,0.007426251
Q13190,STX5,Syntaxin-5,21.6275,21.715,0.0875,0.20399742
P13671,C6,Complement component C6,21.15,21.31,0.16,0.122440292
Q8N766,EMC1,ER membrane protein complex subunit 1,22.3375,22.3125,-0.025,0.239442599
P49796,RGS3,Regulator of G-protein signaling 3,18.9075,18.955,0.0475,0.635652628
P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",22.23,22.3375,0.1075,0.232451867
Q00325,SLC25A3,"Phosphate carrier protein, mitochondrial",25.465,25.5,0.035,0.343967645
P61018,RAB4B,Ras-related protein Rab-4B,21.04,21.09,0.05,0.137521425
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,24.2575,24.31,0.0525,0.068903509
Q5VWZ2,LYPLAL1,Lysophospholipase-like protein 1,20.47,20.5025,0.0325,0.380977575
Q8N573,OXR1,Oxidation resistance protein 1,19.7675,19.8075,0.04,0.22775677
Q8WVX9,FAR1,Fatty acyl-CoA reductase 1,19.6975,19.6225,-0.075,0.010869815
P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",23.4875,23.52,0.0325,0.397425599
Q8TDJ6,DMXL2,DmX-like protein 2,22.4525,22.4175,-0.035,0.288962091
Q9GZS3,WDR61,WD repeat-containing protein 61,20.5875,20.6225,0.035,0.40460534
Q6RW13,AGTRAP,Type-1 angiotensin II receptor-associated protein,21.4925,21.6275,0.135,0.213994553
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,21.2625,21.22,-0.0425,0.223806462
Q9BXX0,EMILIN2,EMILIN-2,19.48,19.5725,0.0925,0.506577246
Q13185,CBX3,Chromobox protein homolog 3,23.0325,23.1425,0.11,0.092547278
Q9H147,DNTTIP1,Deoxynucleotidyltransferase terminal-interacting protein 1,19.615,19.6875,0.0725,0.517758721
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,22.2275,22.28,0.0525,0.199233423
Q9UPW5,AGTPBP1,Cytosolic carboxypeptidase 1,20.53,20.615,0.085,0.223806462
P50990,CCT8,T-complex protein 1 subunit theta,25.4225,25.4375,0.015,0.680667839
Q9NP73,ALG13,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,17.675,17.7825,0.1075,0.269294739
P25815,S100P,Protein S100-P,18.8975,18.9525,0.055,0.075826491
P62826,RAN,GTP-binding nuclear protein Ran,24.495,24.5825,0.0875,0.184020147
P62841,RPS15,40S ribosomal protein S15,23.8175,23.8475,0.03,0.278570013
Q8WWP7,GIMAP1,GTPase IMAP family member 1,22.705,22.83,0.125,0.173436206
P09104,ENO2,Gamma-enolase,19.0575,19.14,0.0825,0.457114833
Q11201,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",17.8875,17.9925,0.105,0.102728079
Q7L5D6,GET4,Golgi to ER traffic protein 4 homolog,20.705,20.75,0.045,0.37139323
Q8WW59,SPRYD4,SPRY domain-containing protein 4,18.71,18.8,0.09,0.101516162
Q6PGP7,TTC37,Tetratricopeptide repeat protein 37,22.2425,22.3325,0.09,0.028764049
Q92636,NSMAF,Protein FAN,20.165,20.2275,0.0625,0.407111823
O75995,SASH3,SAM and SH3 domain-containing protein 3,21.02,21.01,-0.01,0.804317305
Q96RL7,VPS13A,Vacuolar protein sorting-associated protein 13A,17.5225,17.5975,0.075,0.226351543
Q96RE7,NACC1,Nucleus accumbens-associated protein 1,19.9175,19.85,-0.0675,0.182126454
Q8WUA4,GTF3C2,General transcription factor 3C polypeptide 2,19.5525,19.6425,0.09,0.219535646
P78356,PIP4K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,18.355,18.4675,0.1125,0.075572681
Q86XP3,DDX42,ATP-dependent RNA helicase DDX42,21.8975,21.9175,0.02,0.580776008
Q96RT1,ERBB2IP,Protein LAP2,22.32,22.3925,0.0725,0.271310586
Q9BX68,HINT2,"Histidine triad nucleotide-binding protein 2, mitochondrial",19.865,19.965,0.1,0.245904324
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",21.045,21.12,0.075,0.312909327
P19484,TFEB,Transcription factor EB,18.8875,19.0025,0.115,0.011372801
Q13951,CBFB,Core-binding factor subunit beta,20.3,20.37,0.07,0.103838525
Q86UP2,KTN1,Kinectin,24.2475,24.3125,0.065,0.343698367
P63244,GNB2L1,Guanine nucleotide-binding protein subunit beta-2-like 1,25.56,25.6075,0.0475,0.032004589
Q8IWL3,HSCB,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",16.9825,16.885,-0.0975,0.168228995
P48723,HSPA13,Heat shock 70 kDa protein 13,19.76,19.865,0.105,0.166922196
Q9BXS5,AP1M1,AP-1 complex subunit mu-1,23.7025,23.7475,0.045,0.306829822
Q9HCK8,CHD8,Chromodomain-helicase-DNA-binding protein 8,19.7325,19.7,-0.0325,0.006533194
P08134,RHOC,Rho-related GTP-binding protein RhoC,18.52,18.5475,0.0275,0.194575497
O75376,NCOR1,Nuclear receptor corepressor 1,23.0075,23.105,0.0975,0.014073251
Q8N6M0,OTUD6B,OTU domain-containing protein 6B,17.345,17.5025,0.1575,0.232178181
Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,20.1925,20.145,-0.0475,0.264867577
P23219,PTGS1,Prostaglandin G/H synthase 1,20.9075,20.93,0.0225,0.185595708
P10155,TROVE2,60 kDa SS-A/Ro ribonucleoprotein,21.8175,21.8725,0.055,0.279138768
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,23.4025,23.445,0.0425,0.160061112
Q6ZSS7,MFSD6,Major facilitator superfamily domain-containing protein 6,16.435,16.48,0.045,0.197027586
Q6PJF5,RHBDF2,Inactive rhomboid protein 2,20.2825,20.3525,0.07,0.119547877
P29372,MPG,DNA-3-methyladenine glycosylase,18.21,18.2825,0.0725,0.010199022
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,25.31,25.2575,-0.0525,0.342015586
O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,22.7675,22.805,0.0375,0.383517915
Q8TEV9,SMCR8,Smith-Magenis syndrome chromosomal region candidate gene 8 protein,20.8925,20.9575,0.065,0.087563652
Q8TF40,FNIP1,Folliculin-interacting protein 1,18.105,18.12,0.015,0.871311312
P80303,NUCB2,Nucleobindin-2,23.0475,23.105,0.0575,0.196383424
P40938,RFC3,Replication factor C subunit 3,20.16,20.19,0.03,0.71573864
O95425,SVIL,Supervillin,20.605,20.725,0.12,0.094493348
P82673,MRPS35,"28S ribosomal protein S35, mitochondrial",20.0225,20.035,0.0125,0.758073391
P63165,SUMO1,Small ubiquitin-related modifier 1,19.7425,19.8375,0.095,0.246452117
P49247,RPIA,Ribose-5-phosphate isomerase,18.6025,18.755,0.1525,0.079482377
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,25.8375,25.875,0.0375,0.436815401
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,21.1125,21.005,-0.1075,0.296601151
P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,23.0175,23.0475,0.03,0.69618833
P29375,KDM5A,Lysine-specific demethylase 5A,18.9425,18.9675,0.025,0.6158669
Q9BRT3,MIEN1,Migration and invasion enhancer 1,20.01,20.0475,0.0375,0.393438142
Q9BZV1,UBXN6,UBX domain-containing protein 6,19.795,19.7675,-0.0275,0.692114923
Q13610,PWP1,Periodic tryptophan protein 1 homolog,18.68,18.755,0.075,0.016971149
P18077,RPL35A,60S ribosomal protein L35a,24.35,24.3825,0.0325,0.308659204
P61201,COPS2,COP9 signalosome complex subunit 2,22.7125,22.7825,0.07,0.07727429
Q5BJH7,YIF1B,Protein YIF1B,16.685,16.815,0.13,0.03602156
P61421,ATP6V0D1,V-type proton ATPase subunit d 1,23.4025,23.3875,-0.015,0.476484334
O00499,BIN1,Myc box-dependent-interacting protein 1,18.05,17.9975,-0.0525,0.264783907
Q5SRE5,NUP188,Nucleoporin NUP188 homolog,20.5,20.5975,0.0975,0.165601302
P56378,MP68,6.8 kDa mitochondrial proteolipid,21.6725,21.6325,-0.04,0.574247923
P49321,NASP,Nuclear autoantigenic sperm protein,22.945,22.995,0.05,0.442914498
O95104,SCAF4,"Splicing factor, arginine/serine-rich 15",20.735,20.845,0.11,0.092547278
Q2TAY7,SMU1,WD40 repeat-containing protein SMU1,22.045,22.115,0.07,0.202118443
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,19.36,19.3975,0.0375,0.504257733
Q13948,CUX1,Protein CASP,18.54,18.6375,0.0975,0.096241669
Q9H0G5,NSRP1,Nuclear speckle splicing regulatory protein 1,20.05,20.085,0.035,0.19442091
Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein,23.4675,23.53,0.0625,0.087384388
Q8NHP8,PLBD2,Putative phospholipase B-like 2,21.275,21.225,-0.05,0.289359137
P06703,S100A6,Protein S100-A6,26.9925,26.98,-0.0125,0.504257733
Q32P41,TRMT5,tRNA (guanine(37)-N1)-methyltransferase,20.33,20.3675,0.0375,0.153646461
Q9BQ70,TCF25,Transcription factor 25,18.9775,19.03,0.0525,0.275354185
P49757,NUMB,Protein numb homolog,23.13,23.1625,0.0325,0.10862358
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L,21.25,21.285,0.035,0.364025949
Q5VZE5,NAA35,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",18.615,18.7225,0.1075,0.194012512
Q9H9Q2,COPS7B,COP9 signalosome complex subunit 7b,19.755,19.77,0.015,0.749787587
Q8TBC3,SHKBP1,SH3KBP1-binding protein 1,18.095,18.145,0.05,0.617601071
Q9Y4K1,AIM1,Absent in melanoma 1 protein,21.54,21.6225,0.0825,0.100924192
Q12905,ILF2,Interleukin enhancer-binding factor 2,23.695,23.7425,0.0475,0.383222187
O60547,GMDS,"GDP-mannose 4,6 dehydratase",21.68,21.7775,0.0975,0.196606746
Q13952,NFYC,Nuclear transcription factor Y subunit gamma,19.9375,20.0225,0.085,0.361892924
P62280,RPS11,40S ribosomal protein S11,24.8625,24.91,0.0475,0.329513138
O14686,KMT2D,Histone-lysine N-methyltransferase 2D,19.7475,19.7975,0.05,0.271456738
O60725,ICMT,Protein-S-isoprenylcysteine O-methyltransferase,18.815,18.8675,0.0525,0.412348906
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,23.9775,23.8775,-0.1,0.048720081
Q8IY34,SLC15A3,Solute carrier family 15 member 3,22.4125,22.335,-0.0775,0.425228858
P61764,STXBP1,Syntaxin-binding protein 1,18.3375,18.24,-0.0975,0.319934949
Q9NP64,ZCCHC17,Nucleolar protein of 40 kDa,17.02,17.1075,0.0875,0.063517221
Q9UGP8,SEC63,Translocation protein SEC63 homolog,22.8475,22.91,0.0625,0.124725084
P05204,HMGN2,Non-histone chromosomal protein HMG-17,26.4575,26.5,0.0425,0.630944203
Q9NY12,GAR1,H/ACA ribonucleoprotein complex subunit 1,22.2275,22.325,0.0975,0.166479493
O60268,KIAA0513,Uncharacterized protein KIAA0513,20.8925,20.9475,0.055,0.355078709
Q9Y5P6,GMPPB,Mannose-1-phosphate guanyltransferase beta,22.0725,22.1475,0.075,0.114778866
Q9BX69,CARD6,Caspase recruitment domain-containing protein 6,19.135,19.205,0.07,0.282249998
Q13075,NAIP,Baculoviral IAP repeat-containing protein 1,23.095,23.135,0.04,0.384438644
Q9NSY2,STARD5,StAR-related lipid transfer protein 5,18.1875,18.3725,0.185,0.103078104
Q06210,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,22.95,23.0075,0.0575,0.331285301
Q9Y2K7,KDM2A,Lysine-specific demethylase 2A,20.6875,20.7575,0.07,0.371097606
P52888,THOP1,Thimet oligopeptidase,21.71,21.735,0.025,0.691751426
Q9BVP2,GNL3,Guanine nucleotide-binding protein-like 3,21.6675,21.7075,0.04,0.431805025
Q04917,YWHAH,14-3-3 protein eta,23.6425,23.7,0.0575,0.07738458
P33527,ABCC1,Multidrug resistance-associated protein 1,21.8325,21.7775,-0.055,0.478574043
Q8WUA2,PPIL4,Peptidyl-prolyl cis-trans isomerase-like 4,20.515,20.585,0.07,0.089676144
Q15652,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,20.32,20.4825,0.1625,0.262225954
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4,23.465,23.3975,-0.0675,0.362711572
Q14974,KPNB1,Importin subunit beta-1,25.2525,25.2875,0.035,0.060481503
Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,25.03,25.005,-0.025,0.304032967
O95391,SLU7,Pre-mRNA-splicing factor SLU7,20.785,20.8025,0.0175,0.601821814
Q92879,CELF1,CUGBP Elav-like family member 1,21.1125,21.1925,0.08,0.211309254
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor,22.87,22.8975,0.0275,0.60066256
P23743,DGKA,Diacylglycerol kinase alpha,21.36,21.3825,0.0225,0.651286752
Q9C0B0,UNK,RING finger protein unkempt homolog,17.74,17.8025,0.0625,0.436581904
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein,19.9375,20.0125,0.075,0.129807877
P37802,TAGLN2,Transgelin-2,25.55,25.615,0.065,0.051148166
Q9UK53,ING1,Inhibitor of growth protein 1,17.3575,17.4825,0.125,0.277957975
P16402,HIST1H1D,Histone H1.3,24.4175,24.545,0.1275,0.482506866
Q16531,DDB1,DNA damage-binding protein 1,23.9575,24.0025,0.045,0.363789158
O95816,BAG2,BAG family molecular chaperone regulator 2,17.77,17.8975,0.1275,0.287239998
Q99504,EYA3,Eyes absent homolog 3,17.22,17.2625,0.0425,0.53956816
Q8N108,MIER1,Mesoderm induction early response protein 1,19.3575,19.49,0.1325,0.026091324
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,22.7275,22.7675,0.04,0.295228937
P34932,HSPA4,Heat shock 70 kDa protein 4,25.1625,25.2025,0.04,0.358464221
Q96S97,MYADM,Myeloid-associated differentiation marker,20.9825,21.0375,0.055,0.173699507
Q5VSL9,STRIP1,Striatin-interacting protein 1,20.71,20.8225,0.1125,0.055218733
